train/100051_GigsEKRBMhvNwolC_0000.wav,दोस्तों bash में nested और multilevel if statement के spoken tutorial में आपका स्वागत है
train/100051_GigsEKRBMhvNwolC_0001.wav,इस tutorial में हम निम्न के बारे में सीखेंगे
train/100051_GigsEKRBMhvNwolC_0002.wav,nested ifelse और
train/100051_GigsEKRBMhvNwolC_0003.wav,multilevel ifelse statement
train/100051_GigsEKRBMhvNwolC_0004.wav,हम यह कुछ उदाहरण उपयोग करके करेंगे
train/100051_GigsEKRBMhvNwolC_0005.wav,इस tutorial के अनुसरण के लिए आपको लिनक्स operating system से परिचित होना चाहिए
train/100051_GigsEKRBMhvNwolC_0006.wav,यदि नहीं तो सम्बंधित tutorials के लिए कृपया हमारी website पर जाएँ
train/100051_GigsEKRBMhvNwolC_0007.wav,इस tutorial के लिए मैं उपयोग कर रही हूँ
train/100051_GigsEKRBMhvNwolC_0008.wav,ubuntu लिनक्स 1204 os और
train/100051_GigsEKRBMhvNwolC_0009.wav,gnu bash version 4110
train/100051_GigsEKRBMhvNwolC_0010.wav,अभ्यास के लिए gnu bash version 4 या उससे नए की सलाह दी जाती है
train/100051_GigsEKRBMhvNwolC_0011.wav,अब nested ifelse statement का flow यानी प्रवाह समझते हैं
train/100051_GigsEKRBMhvNwolC_0012.wav,यहाँ यदि condition 1 true है तो condition 2 मूल्यांकित की जाएगी
train/100051_GigsEKRBMhvNwolC_0013.wav,यदि कंडीशन 2 true है तो statement 1 निष्पादित किया जाएगा
train/100051_GigsEKRBMhvNwolC_0014.wav,जिसका मतलब है केवल जब conditions 1 और 2 दोनों true हैं that statement 1 निष्पादित किया जायेगा
train/100051_GigsEKRBMhvNwolC_0015.wav,यदि कंडीशन 1 false है तो statement 3 निष्पादित किया जायेगा
train/100051_GigsEKRBMhvNwolC_0016.wav,और यदि condition 2 false है तो statement 2 निष्पादित किया जायेगा
train/100051_GigsEKRBMhvNwolC_0017.wav,एक उदाहरण देखते हैं
train/100051_GigsEKRBMhvNwolC_0018.wav,मैंने nestedifelse sh file में code लिख लिया है
train/100051_GigsEKRBMhvNwolC_0019.wav,मैं इसे खोलूंगी
train/100051_GigsEKRBMhvNwolC_0020.wav,अब मैं code समझाती हूँ
train/100051_GigsEKRBMhvNwolC_0021.wav,यह शीबैंग line है
train/100051_GigsEKRBMhvNwolC_0022.wav,variable name को value anusha नियुक्त की गयी है
train/100051_GigsEKRBMhvNwolC_0023.wav,variable password को value abc123 नियुक्त की गयी है
train/100051_GigsEKRBMhvNwolC_0024.wav,read command मानक input से data की एक line को पढ़ता है
train/100051_GigsEKRBMhvNwolC_0025.wav,hyphen p flag prompt को दिखाता है
train/100051_GigsEKRBMhvNwolC_0026.wav,hyphen p के बाद enter name: यह string terminal पर दिखाया जायेगा
